Class,Name,Creation Date,Description,Development,Directional Tuning,Hair Length,Number of Varicosities,Varicosity Surface Area
Integer,Text,Date,Text,Text,Integer,Text,Integer,Decimal

2,L.2.10.408,6/15/06,long type 2 age 10 afferent slide 408 varicosity data,instar_10,262,long,784,4178.91
2,L.2.10.409,6/15/06,long type 2 age 10 afferent slide 409 varicosity data,instar_10,262,long,624,4418.08
2,L.2.10.410,6/15/06,long type 2 age 10 afferent slide 410 varicosity data,instar_10,262,long,588,3712.42
2,L.2.10.411,6/15/06,long type 2 age 10 afferent slide 411 varicosity data,instar_10,262,long,563,5335.47
1,L.1.10.423,6/15/06,long type 1 age 10 afferent slide 423 varicosity data,instar_10,210,long,623,3724.42
3,L.3.10.180,6/15/06,long type 3 age 10 afferent slide 180 varicosity data,instar_10,295,long,339,2170.86
3,L.3.10.181,6/15/06,long type 3 age 10 afferent slide 181 varicosity data,instar_10,295,long,560,4527.35
3,L.3.10.432,6/15/06,long type 3 age 10 afferent slide 432 varicosity data,instar_10,295,long,549,3295.7
4,L.4.10.192,6/15/06,long type 4 age 10 afferent slide 192 varicosity data,instar_10,320,long,891,4083.88
4,L.4.10.190,6/15/06,long type 4 age 10 afferent slide 190 varicosity data,instar_10,320,long,936,5048.63
4,L.4.10.195,6/15/06,long type 4 age 10 afferent slide 195 varicosity data,instar_10,320,long,801,4476.05
4,L.4.10.196,6/15/06,long type 4 age 10 afferent slide 196 varicosity data,instar_10,320,long,589,4451.52
5,L.5.10.436,6/15/06,long type 5 age 10 afferent slide 436 varicosity data,instar_10,30,long,848,4324.58
5,L.5.10.437,6/15/06,long type 5 age 10 afferent slide 437 varicosity data,instar_10,30,long,616,3455.11
4,L.4.10.197,6/15/06,long type 4 age 10 afferent slide 197 varicosity data,instar_10,320,long,702,3818.84
5,L.5.10.442,6/15/06,long type 5 age 10 afferent slide 442 varicosity data,instar_10,30,long,480,2756.75
5,L.5.10.444,6/15/06,long type 5 age 10 afferent slide 444 varicosity data,instar_10,30,long,718,3485.79
5,L.5.10.445,6/15/06,long type 5 age 10 afferent slide 445 varicosity data,instar_10,30,long,518,2505.21
6,L.6.10.165,6/15/06,long type 6 age 10 afferent slide 165 varicosity data,instar_10,209,long,774,3815.85
6,L.6.10.174,6/15/06,long type 6 age 10 afferent slide 174 varicosity data,instar_10,209,long,716,2030.72
6,L.6.10.177,6/15/06,long type 6 age 10 afferent slide 177 varicosity data,instar_10,209,long,577,3992.05
6,L.6.10.178,6/15/06,long type 6 age 10 afferent slide 178 varicosity data,instar_10,209,long,659,3962.71
7,L.7.10.154,6/15/06,long type 7 age 10 afferent slide 154 varicosity data,instar_10,30,long,770,4162.53
7,L.7.10.155,6/15/06,long type 7 age 10 afferent slide 155 varicosity data,instar_10,30,long,636,3110.73
7,L.7.10.157,6/15/06,long type 7 age 10 afferent slide 157 varicosity data,instar_10,30,long,923,4491.88
1,L.1.10.416,6/15/06,long type 1 age 10 afferent slide 416 varicosity data,instar_10,210,long,527,3271.62
7,L.7.10.163,6/15/06,long type 7 age 10 afferent slide 163 varicosity data,instar_10,30,long,776,4788.06
7,L.7.10.166,6/15/06,long type 7 age 10 afferent slide 166 varicosity data,instar_10,30,long,708,4091.04
8,L.8.10.133,6/15/06,long type 8 age 10 afferent slide 133 varicosity data,instar_10,110,long,767,4333.05
8,L.8.10.148,6/15/06,long type 8 age 10 afferent slide 148 varicosity data,instar_10,110,long,665,3263.66
8,L.8.10.149,6/15/06,long type 8 age 10 afferent slide 149 varicosity data,instar_10,110,long,814,5373.15
8,L.8.10.188,6/15/06,long type 8 age 10 afferent slide 188 varicosity data,instar_10,110,long,537,3058.37
9,L.9.10.125,6/15/06,long type 9 age 10 afferent slide 125 varicosity data,instar_10,115,long,632,4960.62
9,L.9.10.134,6/15/06,long type 9 age 10 afferent slide 134 varicosity data,instar_10,115,long,682,4756.61
9,L.9.10.137,6/15/06,long type 9 age 10 afferent slide 137 varicosity data,instar_10,115,long,510,4190.29
1,L.1.10.414,6/15/06,long type 1 age 10 afferent slide 414 varicosity data,instar_10,210,long,702,3439.91
9,L.9.10.140,6/15/06,long type 9 age 10 afferent slide 140 varicosity data,instar_10,115,long,522,2602.83
9,L.9.10.152,6/15/06,long type 9 age 10 afferent slide 152 varicosity data,instar_10,115,long,540,3194.72
9,L.9.10.175,6/15/06,long type 9 age 10 afferent slide 175 varicosity data,instar_10,115,long,344,2392.47
9,L.9.10.185,6/15/06,long type 9 age 10 afferent slide 185 varicosity data,instar_10,115,long,564,4067.51
1,L.1.10.422,6/15/06,long type 1 age 10 afferent slide 422 varicosity data,instar_10,210,long,462,2495.38
2,L.2.10.407,6/15/06,long type 2 age 10 afferent slide 407 varicosity data,instar_10,262,long,560,3085.49
1,M.1.10.718,6/16/06,medium type 1 age 10 afferent slide 718 varicosity data,instar_10,210,medium,771,2246.74
11,L.11.10.425,6/16/06,long type 11 age 10 afferent slide 425 varicosity data,instar_10,28,long,615,3695.26
11,L.11.10.426,6/16/06,long type 11 age 10 afferent slide 426 varicosity data,instar_10,28,long,865,3622.66
11,L.11.10.430,6/16/06,long type 11 age 10 afferent slide 430 varicosity data,instar_10,28,long,545,3016.64
11,L.11.10.429,6/16/06,long type 11 age 10 afferent slide 429 varicosity data,instar_10,28,long,633,3392.19
11,L.11.10.431,6/16/06,long type 11 age 10 afferent slide 431 varicosity data,instar_10,28,long,549,3124.08
1,M.1.10.721,6/16/06,medium type 1 age 10 afferent slide 721 varicosity data,instar_10,210,medium,760,2293.12
10,L.10.10.123,6/16/06,long type 10 age 10 afferent slide 123 varicosity data,instar_10,297,long,558,4850.56
1,M.1.10.722,6/16/06,medium type 1 age 10 afferent slide 722 varicosity data,instar_10,210,medium,695,2190.74
2,M.2.10.726,6/16/06,medium type 2 age 10 afferent slide 726 varicosity data,instar_10,262,medium,902,3016.58
2,M.2.10.736,6/16/06,medium type 2 age 10 afferent slide 736 varicosity data,instar_10,262,medium,872,2816.15
2,M.2.10.737,6/16/06,medium type 2 age 10 afferent slide 737 varicosity data,instar_10,262,medium,676,2430.46
2,M.2.10.738,6/16/06,medium type 2 age 10 afferent slide 738 varicosity data,instar_10,262,medium,860,3614.66
3,M.3.10.924,6/16/06,medium type 3 age 10 afferent slide 924 varicosity data,instar_10,295,medium,647,1845.61
3,M.3.10.923,6/16/06,medium type 3 age 10 afferent slide 923 varicosity data,instar_10,295,medium,569,1838.17
3,M.3.10.926,6/16/06,medium type 3 age 10 afferent slide 926 varicosity data,instar_10,295,medium,840,2693.69
10,L.10.10.130,6/16/06,long type 10 age 10 afferent slide 130 varicosity data,instar_10,297,long,655,3684.15
4,M.4.10.919,6/16/06,medium type 4 age 10 afferent slide 919 varicosity data,instar_10,320,medium,851,3337.02
4,M.4.10.920,6/16/06,medium type 4 age 10 afferent slide 920 varicosity data,instar_10,320,medium,1403,3931.41
4,M.4.10.921,6/16/06,medium type 4 age 10 afferent slide 921 varicosity data,instar_10,320,medium,901,2647.94
5,M.5.10.912,6/16/06,medium type 5 age 10 afferent slide 912 varicosity data,instar_10,30,medium,699,2417.69
5,M.5.10.914,6/16/06,medium type 5 age 10 afferent slide 914 varicosity data,instar_10,30,medium,813,3421.24
5,M.5.10.915,6/16/06,medium type 5 age 10 afferent slide 915 varicosity data,instar_10,30,medium,814,3025.47
5,M.5.10.917,6/16/06,medium type 5 age 10 afferent slide 917 varicosity data,instar_10,30,medium,820,2544.92
6,M.6.10.910,6/16/06,medium type 6 age 10 afferent slide 910 varicosity data,instar_10,209,medium,484,3305.66
7,M.7.10.716,6/16/06,medium type 7 age 10 afferent slide 716 varicosity data,instar_10,30,medium,482,2200.49
10,L.10.10.131,6/16/06,long type 10 age 10 afferent slide 131 varicosity data,instar_10,297,long,745,5958.97
